# Constructed from biom file
#OTU ID	Patient1-fresh	Patient1-frozen	Patient2-fresh	Patient2-frozen	Patient3-fresh	Patient3-frozen
7c41a55b718b5dc885b5e5fde7fd340c	0.0	0.0	46.0	41.0	0.0	0.0
96145b8db01ec67814d2a4d356772e1a	0.0	0.0	0.0	0.0	56.0	30.0
8636c92e9b7d1f68233f9c0f188f6806	0.0	0.0	40.0	12.0	25.0	7.0
93c761fb5a54a42af0c4bb7e6a62549f	37.0	36.0	0.0	0.0	10.0	0.0
99de78c3e7a06688397be3ceac1485eb	0.0	0.0	16.0	0.0	48.0	30.0
8643591a5a14adc252f08e623d516c50	77.0	55.0	0.0	0.0	0.0	0.0
dd64537ec135690ca97cfa04dd63e416	12.0	18.0	46.0	29.0	0.0	0.0
ecf376096abf87e5b86fb1d44e01d2dc	0.0	0.0	39.0	30.0	6.0	0.0
06ba1e89a34bf404d3861edff789b3d5	42.0	31.0	0.0	0.0	0.0	0.0
b1e22c2586d980d1a92d3d7d16be207e	39.0	25.0	0.0	0.0	0.0	0.0
b828f6637f9988ed9e3cdc4d6d98ae8a	36.0	27.0	0.0	0.0	0.0	0.0
a754a9282eed7df16533f6afd0f0dad9	0.0	0.0	0.0	0.0	63.0	0.0
49cd8a1b7498f6b99c4f1fdd848f7efb	4.0	0.0	33.0	20.0	3.0	0.0
ed3864c6e7d4e92ea81c4d86a18c2ac0	0.0	0.0	0.0	0.0	54.0	16.0
1e5d4c9eb95a2cb76590f3ee3937499f	0.0	0.0	25.0	28.0	0.0	0.0
99e34fac9b4b1da6d413b28afd5bb08f	27.0	25.0	0.0	0.0	0.0	0.0
e2c4ed6724a4996fd7b35d8ef0da2ed6	0.0	0.0	32.0	20.0	0.0	0.0
5f14052a9c3a971058cf075856f9b970	50.0	0.0	0.0	0.0	0.0	0.0
1f5360a4d97841c94084f583ad222d90	0.0	0.0	21.0	50.0	0.0	0.0
b6911f951f48599a83244fd718d5f5c2	22.0	26.0	0.0	0.0	0.0	0.0
6c2d9c60bb9c7443d598cb1db64c47fa	26.0	20.0	0.0	0.0	0.0	0.0
de3520c1e98e0646ce43dd9c7015e591	0.0	0.0	33.0	13.0	0.0	0.0
